case_n_18plus
15.0
21.0
68.0
102.0
66.0
51.0
22.0
17.0
14.0
60.0
38.0
33.0
2.0
32.0
5.0
28.0
5.0
14.0
7.0
4.0
100.0
23.0
43.0
29.0
72.0
13.0
69.0
40.0
11.0
37.0
59.0
51.0
53.0
87.0
9.0
27.0
4.0
61.0
50.0
33.0
42.0
10.0
5.0
3.0
97.0
57.0
33.0
21.0
75.0
56.0
61.0
55.0
39.0
59.0
54.0
45.0
16.0
31.0
9.0
31.0
43.0
65.0
38.0
28.0
3.0
3.0
61.0
44.0
61.0
66.0
24.0
40.0
23.0
43.0
109.0
87.0
136.0
44.0
36.0
43.0
69.0
38.0
17.0
58.0
15.0
1.0
5.0
16.0
26.0
31.0
60.0
25.0
57.0
21.0
29.0
57.0
49.0
25.0
29.0
73.0
28.0
96.0
97.0
84.0
194.0
94.0
26.0
14.0
5.0
6.0
5.0
66.0
2.0
7.0
13.0
20.0
29.0
7.0
3.0
23.0
91.0
7.0
41.0
2.0
82.0
11.0
11.0
28.0
10.0
4.0
14.0
8.0
49.0
1.0
99.0
57.0
122.0
75.0
28.0
17.0
42.0
15.0
14.0
33.0
120.0
96.0
75.0
13.0
33.0
8.0
3.0
27.0
16.0
2.0
161.0
9.0
3.0
1.0
1.0
14.0
5.0
16.0
2.0
8.0
4.0
62.0
22.0
45.0
11.0
9.0
47.0
116.0
3.0
36.0
8.0
5.0
8.0
4.0
2.0
3.0
6.0
1.0
4.0
3.0
33.0
11.0
3.0
2.0
13.0
6.0
3.0
12.0
9.0
1.0
2.0
8.0
6.0
1.0
76.0
93.0
7.0
2.0
28.0
33.0
1.0
14.0
29.0
46.0
3.0
3.0
3.0
6.0
73.0
16.0
8.0
27.0
8.0
25.0
7.0
5.0
21.0
7.0
35.0
22.0
110.0
71.0
93.0
58.0
24.0
11.0
13.0
4.0
34.0
4.0
16.0
6.0
8.0
23.0
2.0
49.0
16.0
1.0
7.0
15.0
11.0
5.0
53.0
66.0
2.0
19.0
42.0
3.0
11.0
35.0
13.0
1.0
188.0
64.0
7.0
83.0
30.0
5.0
15.0
3.0
2.0
1.0
57.0
11.0
26.0
9.0
9.0
6.0
24.0
12.0
8.0
5.0
2.0
1.0
84.0
89.0
112.0
18.0
32.0
17.0
9.0
1.0
16.0
73.0
47.0
4.0
10.0
8.0
14.0
34.0
4.0
70.0
15.0
22.0
2.0
1.0
13.0
3.0
144.0
133.0
80.0
52.0
2.0
100.0
59.0
2.0
22.0
10.0
16.0
1.0
4.0
5.0
4.0
82.0
22.0
39.0
13.0
11.0
17.0
70.0
3.0
12.0
1.0
32.0
11.0
8.0
4.0
4.0
1.0
16.0
155.0
176.0
32.0
15.0
73.0
32.0
132.0
189.0
134.0
151.0
52.0
103.0
144.0
118.0
32.0
159.0
69.0
153.0
120.0
91.0
95.0
86.0
45.0
8.0
4.0
5.0
1.0
13.0
25.0
25.0
4.0
8.0
194.0
104.0
181.0
139.0
98.0
56.0
20.0
1.0
7.0
18.0
5.0
1.0
7.0
1.0
7.0
19.0
7.0
12.0
24.0
3.0
7.0
29.0
3.0
2.0
55.0
6.0
5.0
196.0
61.0
5.0
15.0
8.0
2.0
193.0
230.0
94.0
197.0
199.0
127.0
19.0
1.0
202.0
218.0
8.0
30.0
93.0
118.0
88.0
93.0
11.0
38.0
62.0
31.0
1.0
131.0
12.0
151.0
34.0
111.0
122.0
5.0
1.0
53.0
104.0
80.0
112.0
1.0
53.0
57.0
54.0
51.0
4.0
177.0
161.0
8.0
70.0
53.0
15.0
135.0
42.0
95.0
77.0
75.0
234.0
96.0
12.0
39.0
8.0
2.0
13.0
7.0
120.0
100.0
14.0
137.0
45.0
20.0
37.0
2.0
11.0
21.0
45.0
5.0
6.0
1.0
1.0
86.0
8.0
59.0
4.0
3.0
142.0
10.0
19.0
34.0
20.0
6.0
62.0
3.0
4.0
3.0
12.0
18.0
16.0
14.0
1.0
24.0
4.0
26.0
1.0
5.0
5.0
7.0
2.0
67.0
1.0
25.0
25.0
16.0
13.0
16.0
9.0
37.0
29.0
23.0
40.0
14.0
9.0
27.0
21.0
16.0
1.0
13.0
17.0
5.0
14.0
1.0
7.0
8.0
19.0
14.0
2.0
58.0
34.0
2.0
166.0
53.0
81.0
53.0
44.0
113.0
129.0
119.0
6.0
26.0
74.0
3.0
7.0
