Pct_Civilian_Unemployed,Pct_BelowPoverty_18andOver,Pct_Population_Male_65andOver,Pct_Population_Female_65andOver,Pct_Black_65andOver,Pct_Black_Male_65andOver,Pct_Black_Female_65andOver,Pct_White_65andOver,Pct_White_Male_65andOver,Pct_White_Female_65andOver,Pct_Hisp_65andOver,Pct_Hisp_Male_65andOver,Pct_Hisp_Female_65andOver,BINGE_CrudePrev,CSMOKING_CrudePrev,OBESITY_CrudePrev,Median_Household_Income,ZCTA_pm2_5,sdi_score,Pct_White_Male_Between18and65,Pct_White_Female_Between18and65,Pct_Black_Female_Between18and65,Pct_Black_Male_Between18and65,Pct_Hisp_Male_Between18and65,Pct_Hisp_Female_Between18and65
2.3,1.9076879108316664,4.801371820520148,4.222635038582452,0.685910260074307,0.2786510431551872,0.4072592169191197,4.779937124892827,2.657902257787939,2.122034867104887,0.3715347242069163,0.1857673621034581,0.1857673621034581,17.1,11.9,22.5,153314.0,7.80159849053698,1.0,24.242640754501284,24.607030580165763,5.487282080594455,4.965704486996285,3.801086024578451,3.772506430408688
4.6,12.441945734539232,13.66414079687118,13.101931068198486,0.5622097286726963,0.5622097286726963,0.0,25.054998777804936,12.784160351992178,12.27083842581276,0.0,0.0,0.0,17.7,17.8,32.2,82500.0,7.17117619115637,18.0,32.4370569542899,34.68589586898069,1.6132974822781716,1.1244194573453923,0.0244439012466389,2.3710584209239793
4.5,9.415208659541154,3.328926404284891,5.630699345740534,1.2474999152513644,0.4203532323129598,0.8271466829384048,5.8001966168344685,2.108546052408556,3.6916505644259128,0.9186752093291296,0.2271263432658734,0.6915488660632564,17.4,18.3,36.6,70629.0,7.94032202397359,72.0,27.32973999118614,25.495779517949764,7.92230245093054,7.573138072477033,17.73280450184752,16.14969998983016
5.6,7.276173811606883,5.479870147887129,6.820010543547626,1.4594489609056354,0.6381620931716656,0.8212868677339696,9.725035376376905,4.242390610693377,5.482644765683528,1.0488055270386505,0.4134180516633833,0.6353874753752671,17.8,17.9,31.7,81042.0,8.01377858220949,50.0,29.014178296939598,28.844926611359288,5.651896451263838,7.497017285868871,14.896922948863795,13.22660303543187
5.6,8.663902939945993,5.48054615296847,6.089073137336934,1.3615791275244362,0.8937740082911803,0.467805119233256,8.739968812992052,3.9668352793519186,4.773133533640133,0.9812497622941468,0.5324611113224053,0.4487886509717415,17.3,18.6,33.8,88207.0,8.08036002759064,56.0,31.12995854409919,29.05716350359411,3.8223101205644086,4.446050279542083,17.616856197467005,14.152055680219071
3.6,1.8491459666448329,7.051830957537904,6.961164559512416,1.4456253462952702,0.6598498967410468,0.7857754495542235,12.174482445977938,6.271092530096207,5.903389915881731,0.5087392333652345,0.20651790661361,0.3022213267516244,17.4,14.0,33.5,149618.0,7.98480423466654,3.0,32.312496851861184,31.68790610990782,5.379539616178915,5.178058731677831,3.5863597441192767,5.097466377877399
2.0,8.601332064700285,10.237868696479543,9.381541389153188,1.1988582302568982,0.7040913415794482,0.49476688867745,17.84966698382493,8.962892483349192,8.886774500475738,0.0,0.0,0.0,16.0,15.3,30.4,107462.0,7.39242103931198,26.0,31.60799238820171,35.54709800190295,5.290199809705042,3.3111322549952424,4.034253092293054,3.958135109419601
7.7,8.050632911392405,15.544303797468354,13.82278481012658,3.7468354430379742,1.6202531645569622,2.126582278481013,23.746835443037977,13.0126582278481,10.734177215189874,1.8734177215189871,0.9113924050632912,0.9620253164556962,13.6,14.4,27.9,88200.0,7.61464159668659,42.0,24.91139240506329,33.77215189873417,7.139240506329113,3.7468354430379747,0.10126582278480989,1.4683544303797469
5.2,5.23006573306659,10.74592740783081,11.431837667905116,0.2286367533581023,0.0285795941697627,0.2000571591883395,21.920548728208058,10.688768219491283,11.231780508716776,0.0,0.0,0.0,17.4,16.4,29.8,89450.0,7.74103034852107,17.0,39.92569305515862,33.66676193198057,0.0,0.685910260074307,0.7716490425835952,1.4575593026579023
4.6,4.3553338449731385,5.8518802762854945,5.532105397799949,0.6779227423893579,0.4253005883857764,0.2526221540035814,6.8943463801483755,3.32565873624968,3.568687643898695,0.4508825786646201,0.0543617293425428,0.3965208493220772,16.3,11.8,21.4,122165.0,8.06556559781779,16.0,26.58608339728831,26.4645689434638,2.849194167306216,2.3439498592990535,5.081222819135329,5.173957533896137
3.5,6.912340950116673,4.002113327169463,5.741205477039581,1.5893981420331968,0.2773741909919429,1.312023951041254,3.896446968696341,1.6598423810152776,2.2366045876810636,0.5459428521111258,0.2949852507374631,0.2509576013736627,17.0,13.5,22.1,98051.0,8.09074746498405,35.0,22.49812882490204,21.921366618236252,3.9845022674239425,4.305904107779686,6.749438647470611,6.379606392814687
4.1,2.3185566168666827,10.10694750591885,8.743570903747244,0.8163931749530574,0.5061637684708956,0.3102294064821618,15.94415870683321,8.319046452771655,7.6251122540615555,0.1959343619887337,0.057147522246714,0.1387868397420197,15.8,10.4,21.8,177440.0,8.16178941182137,2.0,29.953465589027676,29.186056004571803,2.163441913625602,2.2859008898685604,2.1389501183770108,1.591966691158462
0.0,8.333333333333332,28.921568627450984,5.88235294117647,0.0,0.0,0.0,34.80392156862745,28.921568627450984,5.88235294117647,0.0,0.0,0.0,15.7,16.5,30.6,59719.0,7.46440353391782,12.0,27.45098039215686,37.745098039215684,0.0,0.0,0.0,0.0
3.9,2.133624046098739,7.758159443552702,9.562027058014216,0.8790032867079417,0.4509669036153787,0.4280363830925628,16.20423450278988,7.1619659099594895,9.042268592830393,0.871359779867003,0.5197584651838264,0.3516013146831766,16.9,13.0,25.1,138687.0,7.78218929539795,3.0,36.84170297332416,35.81747305663838,2.6981579148513344,2.224260490713139,3.844683940992127,2.9733241611251247
3.9,10.79219288174512,11.51932644469958,13.738997321086874,1.951779563719862,0.0,1.951779563719862,23.30654420206659,11.51932644469958,11.78721775736701,0.3444316877152698,0.0,0.3444316877152698,16.7,17.4,29.8,82000.0,7.5565188262227,25.0,36.739380022962116,34.09873708381171,0.0,1.7604286261002675,1.9900497512437811,0.0
4.0,1.5470266541853477,4.049859585160369,4.749470365078583,0.8917574025718087,0.448342119525053,0.4434152830467557,6.360545893481795,2.990589742326452,3.3699561511553435,1.1627334088781591,0.3744395723505936,0.7882938365275656,18.8,13.8,32.3,138496.0,7.89195822796289,4.0,30.77302064344485,31.576094989407302,6.3063506922205255,6.340838547568606,6.725131792875795,7.405035226880821
1.3,1.591089896579157,9.228321400159109,10.819411296738265,1.8297533810660305,0.6364359586316627,1.1933174224343674,18.217979315831347,8.591885441527445,9.626093874303898,0.0,0.0,0.0,16.1,12.7,29.7,133250.0,7.6496350753205,2.0,37.5497215592681,38.98170246618934,0.23866348448687358,1.5115354017501987,0.0,1.988862370723946
2.3,2.1090754154239453,6.582871751171708,8.287175117170856,0.0,0.0,0.0,14.870046868342564,6.582871751171708,8.287175117170856,0.7456327226246272,0.7456327226246272,0.0,16.8,13.4,25.7,144971.0,7.66761135603503,1.0,40.605027694929696,38.79420536855561,0.2130379207498934,0.5538985939497231,1.427354069024286,1.6403919897741797
1.7,0.0,14.792899408284024,12.307692307692308,0.0,0.0,0.0,25.325443786982248,14.792899408284024,10.532544378698224,1.301775147928994,1.301775147928994,0.0,16.1,12.9,31.8,122656.0,7.88313899292532,5.0,25.917159763313613,31.4792899408284,1.8934911242603552,0.0,0.0,1.0650887573964496
1.5,6.954102920723226,14.74269819193324,17.385257301808068,1.9471488178025032,1.1126564673157162,0.8344923504867872,29.068150208623088,12.517385257301807,16.550764951321277,0.0,0.0,0.0,14.3,14.1,30.6,89457.0,7.33258723147294,13.0,30.73713490959666,26.425591098748264,0.9735744089012519,8.762169680111263,0.0,0.8344923504867872
2.9,4.1934791934791935,5.714898177920686,7.905680600214363,0.4565916398713826,0.1028938906752411,0.3536977491961415,11.19614147909968,4.72454448017149,6.471596998928189,1.0632368703108253,0.285101822079314,0.7781350482315113,16.5,11.9,23.9,130507.0,8.07939647164704,13.0,27.39335476956056,29.399785637727756,3.8327974276527335,3.4769560557341905,4.771704180064309,5.603429796355841
3.0,2.252523015596824,2.6985985004270936,3.0339460280299915,0.5220032269290392,0.3132019361574235,0.2088012907716157,2.445506026764529,1.2148438735803095,1.2306621531842197,0.2530924736625644,0.1265462368312822,0.1265462368312822,17.2,10.9,21.4,171343.0,7.97340973243003,3.0,24.08491252491379,24.00898478281502,4.460754848302698,3.3091840931380303,2.7776898984466447,3.2395836628808254
