Population_18andOver
2421
3207
3280
34280
1750
10744
25215
21251
7395
9329
7427
4612
43332
1563
1263
192
468
13205
676
7986
34431
19131
1590
6053
3113
551
6827
845
92
3382
829
5234
13484
4805
20133
1139
12249
23485
13957
174
28914
4014
4121
18839
11579
511
2054
444
204
1908
981
885
2048
496
17387
2131
46230
5026
883
1189
40079
253
3855
1817
4200
112
2144
1034
1292
5681
197
13996
37381
480
1150
3190
1179
1077
1975
9301
2087
1324
1479
8122
1170
12680
602
9275
34589
4393
6080
442
5012
1138
23301
9168
4099
2677
2039
28421
492
26439
24448
448
20801
1112
452
948
562
7885
4803
518
6024
1775
5945
21562
6759
5082
3436
2463
44462
2606
27844
19449
2356
6124
1176
4997
709
3310
6073
7084
4293
3608
1303
231
366
10905
649
1413
525
1668
323
31609
13581
786
24594
22197
3794
1660
477
25532
1994
2349
673
10810
789
374
7976
1316
860
268
1670
612
24723
455
4272
172
1312
23380
2340
10464
2757
582
2148
17377
553
2261
8969
21687
206
260
773
9136
1607
10333
1723
20480
1125
320
287
874
10597
1802
6065
1913
15608
1264
3145
602
31129
58586
1422
1244
23054
2755
11006
433
7764
3091
27671
4109
3818
18226
30845
1690
17154
3094
4694
1950
3493
13589
10817
4137
161
25895
594
2435
3218
2077
2903
2731
4701
5400
1426
939
20509
750
3890
338
22691
296
1284
2669
351
1183
2705
39432
3064
15503
1050
3384
22779
1747
1365
34269
1135
19230
5459
7345
14046
1471
1737
17572
1115
1164
2569
1212
10985
1916
6907
1753
2499
3847
22883
2632
1001
73
670
260
3294
1389
6224
2998
3816
12782
2683
3208
540
209
13835
5255
541
17177
25121
24593
46650
217
23734
46641
20297
7986
14998
29635
1004
1272
34367
864
24039
420
140
4206
1060
32165
2943
2827
7012
43725
21930
1158
3384
29499
4818
28589
6586
1314
4565
5027
729
6707
933
2267
1071
4132
304
16157
5013
19250
19747
1394
25883
229
3293
8253
9351
12965
1826
1641
704
237
4254
1331
955
873
5092
1783
2661
17620
1424
4937
773
19853
10808
917
1402
1221
5208
22455
19491
739
39784
1233
2613
22179
4318
51664
41373
7817
13397
28514
606
12026
5085
21038
406
221
970
11686
1232
5470
1238
1307
6285
2425
1031
3872
1075
32266
27678
14030
2226
1100
863
360
327
1182
3755
4093
12663
30701
281
7087
1160
827
4813
6548
2035
13561
5152
9657
4006
1276
370
1352
49831
1387
1336
612
2198
851
340
605
109
803
818
4316
12854
153
5836
1120
21433
495
22713
1498
2744
1052
7105
2764
14632
27879
31272
127
751
3115
2537
19300
352
49447
4184
2289
5852
663
1322
2402
337
723
829
7199
3499
23563
476
22562
19031
527
2671
13000
30481
1634
472
328
7252
501
19509
20227
1582
36041
4812
236
7162
548
3720
30104
686
9395
13877
707
25750
2351
1119
26858
17401
7446
11012
29430
783
7707
19597
3205
20198
12860
382
937
26
40574
30729
26323
6953
8388
10429
1203
8029
7864
215
13896
573
2787
1013
1934
679
59695
8927
213
1689
128
21275
10812
1949
1643
2500
7259
4165
480
4647
5817
6557
25069
2487
6748
1138
13844
11172
