ZCTA5,Zip_name,Population_18andOver,Pct_Civilian_Unemployed,Pct_BelowPoverty_18andOver,Pct_Population_Male_18andOver,Pct_Population_65andOver,Pct_Population_Male_65andOver,Pct_Population_Female_65andOver,Pct_Black_18andOver,Pct_Black_Male_18andOver,Pct_Black_Female_18andOver,Pct_Black_65andOver,Pct_Black_Male_65andOver,Pct_Black_Female_65andOver,Pct_White_18andOver,Pct_White_Male_18andOver,Pct_White_Female_18andOver,Pct_White_65andOver,Pct_White_Male_65andOver,Pct_White_Female_65andOver,Pct_Hisp_18andOver,Pct_Hisp_Male_18andOver,Pct_Hisp_Female_18andOver,Pct_Hisp_65andOver,Pct_Hisp_Male_65andOver,Pct_Hisp_Female_65andOver,BINGE_CrudePrev,CSMOKING_CrudePrev,OBESITY_CrudePrev,Median_Household_Income,ZCTA_pm2_5,sdi_score,case_n_18plus
20105,ZCTA5 20105,13996,2.3,1.9076879108316662,48.34238353815376,9.0240068591026,4.801371820520148,4.222635038582452,11.138896827665047,5.244355530151472,5.894541297513575,0.685910260074307,0.2786510431551872,0.40725921691911976,53.629608459559876,26.900543012289223,26.72906544727065,4.779937124892827,2.6579022577879394,2.122034867104887,7.945127179194056,3.986853386681909,3.9582737925121467,0.3715347242069163,0.18576736210345815,0.18576736210345815,17.1,11.9,22.5,153314,7.80159849053698,1,15
20106,ZCTA5 20106,4091,4.6,12.441945734539232,49.27890491322415,26.766071865069662,13.66414079687118,13.101931068198486,3.2999266682962602,1.6866291860180884,1.6132974822781716,0.5622097286726963,0.5622097286726963,0,92.17795160107553,45.22121730628208,46.95673429479345,25.054998777804936,12.784160351992178,12.270838425812759,2.395502322170618,0.024443901246638963,2.3710584209239793,0,0,0,17.7,17.8,32.2,82500,7.17117619115637,18,21
20109,ZCTA5 20109,29499,4.5,9.415208659541154,49.808468083663854,8.959625750025424,3.328926404284891,5.630699345740534,16.742940438658938,7.993491304789993,8.749449133868945,1.2474999152513644,0.4203532323129598,0.8271466829384048,58.62571612597037,29.438286043594697,29.187430082375677,5.8001966168344685,2.108546052408556,3.6916505644259128,34.80117970100681,17.959930845113394,16.84124885589342,0.9186752093291297,0.22712634326587344,0.6915488660632564,17.4,18.3,36.6,70629,7.94032202397359,72,68
20110,ZCTA5 20110,36041,5.6,7.276173811606883,51.022446657972864,12.299880691434755,5.479870147887129,6.820010543547626,14.608362698038347,8.135179379040537,6.473183318997807,1.4594489609056354,0.6381620931716656,0.8212868677339696,67.58414028467578,33.256568907632975,34.327571377042815,9.725035376376905,4.242390610693377,5.482644765683528,29.172331511334313,15.310341000527178,13.861990510807138,1.0488055270386505,0.4134180516633833,0.6353874753752671,17.8,17.9,31.7,81042,8.01377858220949,50,102
20111,ZCTA5 20111,26293,5.6,8.663902939945993,51.30643136956604,11.569619290305406,5.48054615296847,6.089073137336934,9.629939527630928,5.339824287833263,4.2901152397976645,1.3615791275244362,0.8937740082911803,0.467805119233256,68.92709086068535,35.09679382345111,33.830297037234246,8.739968812992052,3.9668352793519186,4.773133533640133,32.75016163998023,18.14931730878941,14.600844331190812,0.9812497622941467,0.5324611113224053,0.4487886509717415,17.3,18.6,33.8,88207,8.08036002759064,56,66
20112,ZCTA5 20112,19853,3.6,1.8491459666448329,50.39540623583337,14.012995517050319,7.051830957537904,6.961164559512416,12.003223694152016,5.837908628418878,6.165315065733139,1.4456253462952702,0.6598498967410468,0.7857754495542235,76.17488540774694,38.58358938195739,37.59129602578955,12.174482445977938,6.271092530096207,5.903389915881731,9.19256535536191,3.7928776507328865,5.399687704629024,0.5087392333652345,0.20651790661361002,0.30222132675162444,17.4,14,33.5,149618,7.98480423466654,3,51
20115,ZCTA5 20115,5255,2,8.601332064700285,46.81255946717412,19.61941008563273,10.237868696479543,9.381541389153188,9.800190294957185,4.015223596574691,5.784966698382492,1.1988582302568982,0.7040913415794482,0.49476688867745006,85.00475737392959,40.5708848715509,44.433872502378684,17.849666983824932,8.962892483349192,8.886774500475738,7.9923882017126555,4.034253092293054,3.9581351094196005,0,0,0,16,15.3,30.4,107462,7.39242103931198,26,22
20117,ZCTA5 20117,1975,7.7,8.050632911392405,44.55696202531645,29.367088607594937,15.544303797468354,13.822784810126581,14.632911392405063,5.367088607594937,9.265822784810126,3.7468354430379747,1.6202531645569622,2.126582278481013,82.43037974683544,37.924050632911396,44.506329113924046,23.746835443037977,13.012658227848101,10.734177215189874,3.4430379746835444,1.0126582278481013,2.430379746835443,1.8734177215189873,0.9113924050632912,0.9620253164556962,13.6,14.4,27.9,88200,7.61464159668659,42,17
20118,ZCTA5 20118,5,0,0,40,100,40,60,100,40,60,100,40,60,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,7.67604234972678,11,NA
20119,ZCTA5 20119,3499,5.2,5.23006573306659,52.24349814232638,22.177765075735927,10.74592740783081,11.431837667905116,0.9145470134324093,0.7144898542440697,0.20005715918833952,0.22863675335810232,0.02857959416976279,0.20005715918833952,95.51300371534724,50.614461274649905,44.89854244069734,21.920548728208058,10.688768219491283,11.231780508716776,2.2292083452414975,0.7716490425835952,1.4575593026579023,0,0,0,17.4,16.4,29.8,89450,7.74103034852107,17,14
